,lat,lon,arome_t2m,temp_air,temp_surf,temp_snow_ice,temp_ice,sic,residuals,hour,doy,NN_temp,FNN_temp,xgb_temp,xgbdo_temp,xgbpo_temp
2025-05-06 08:00:00,80.8592989,6.0935207,-6.490081787109375,-6.6875,0.0,-3.8125,-4.8125,0.9719858169555664,-0.197418212890625,8,126,-5.564737677574158,-6.684208706021309,-6.313968673348427,-5.635048270225525,-6.1728150844573975
2025-05-06 09:00:00,80.86179595,6.11314695,-6.23980712890625,-6.21875,-3.2750000000000004,-6.59375,-6.875,0.9719858169555664,0.02105712890625,9,126,-5.297115802764893,-6.286945343017578,-6.2198184207081795,-5.3847736120224,-6.840011358261108
2025-05-06 10:00:00,80.8639735,6.1237361,-5.785614013671875,-5.59375,-2.53,-6.25,-6.875,0.9719858169555664,0.191864013671875,10,126,-4.77425479888916,-5.721813648939133,-5.237875759601593,-4.930580496788025,-5.464057922363281
2025-05-06 11:00:00,80.8665414,6.12669695,-5.15478515625,-5.3125,-2.135,-6.03125,-6.8125,0.9731779098510742,-0.15771484375,11,126,-4.122520804405212,-4.947875499725342,-4.906893819570541,-4.29975163936615,-3.4516661167144775
2025-05-06 12:00:00,80.86942930000001,6.12558905,-4.69024658203125,-5.0,-2.07,-5.9375,-6.8125,0.9731779098510742,-0.30975341796875,12,126,-3.638842225074768,-4.367707937955856,-4.568455092608929,-3.8352130651474,-3.2225680351257324
2025-05-06 13:00:00,80.87193289999999,6.1186935,-4.586456298828125,-4.53125,-1.685,-5.8125,-6.8125,0.9731779098510742,0.055206298828125,13,126,-3.5004467964172363,-4.171309739351273,-4.152332097291946,-3.731422781944275,-3.4491981267929077
2025-05-06 14:00:00,80.87380325,6.10942,-4.3448486328125,-4.5,-2.09,-5.8125,-6.75,0.9731779098510742,-0.1551513671875,14,126,-3.2116503715515137,-3.7795810103416443,-3.8755622506141663,-3.48981511592865,-3.2756869792938232
2025-05-06 15:00:00,80.8748014,6.09406445,-4.27935791015625,-4.28125,-2.285,-5.75,-6.75,0.9731779098510742,-0.00189208984375,15,126,-3.081830382347107,-3.5907406210899353,-3.6350740790367126,-3.4243243932724,-3.2101962566375732
2025-05-06 16:00:00,80.87467015,6.0721039,-4.481048583984375,-4.0,-1.545,-5.6875,-6.71875,0.9731779098510742,0.481048583984375,16,126,-3.202103853225708,-3.6559467911720276,-3.522939443588257,-3.626015067100525,-3.261955142021179
2025-05-06 17:00:00,80.87434815,6.04499145,-4.34881591796875,-3.96875,-2.025,-5.625,-6.6875,0.9731779098510742,0.38006591796875,17,126,-3.0059348344802856,-3.169599175453186,-3.5585439801216125,-3.4937824010849,-3.2796542644500732
2025-05-06 18:00:00,80.875469,6.01897305,-4.761138916015625,-3.78125,-2.295,-5.65625,-6.6875,0.9731779098510742,0.979888916015625,18,126,-3.291465163230896,-3.4006396532058716,-3.4847382307052612,-3.906105399131775,-3.2934603691101074
2025-05-06 19:00:00,80.87818755,5.99516365,-4.845489501953125,-3.5,-2.53,-5.6875,-6.6875,0.974370002746582,1.345489501953125,19,126,-3.3375954627990723,-3.158793330192566,-3.3411895036697388,-3.990455985069275,-3.2833476066589355
2025-05-06 20:00:00,80.8827671,5.974210599999999,-4.467926025390625,-3.34375,-2.495,-5.6875,-6.625,0.974370002746582,1.124176025390625,20,126,-2.9999150037765503,-2.42551851272583,-2.971344828605652,-3.612892508506775,-3.056815505027771
2025-05-06 21:00:00,80.8889273,5.95392205,-4.804534912109375,-3.21875,-2.47,-5.65625,-6.625,0.974370002746582,1.585784912109375,21,126,-3.3664289712905884,-2.4710400104522705,-3.031980276107788,-3.949501395225525,-3.2423930168151855
2025-05-06 22:00:00,80.89697735,5.9335936,-5.0843505859375,-3.15625,-2.495,-5.625,-6.625,0.974370002746582,1.9281005859375,22,126,-3.7323490381240845,-2.5356345176696777,-2.953298807144165,-4.22931706905365,-3.2065738439559937
2025-05-06 23:00:00,80.9066291,5.91443485,-5.4791259765625,-2.84375,-2.28,-5.5625,-6.5625,0.9755620956420898,2.6353759765625,23,126,-4.321566104888916,-2.802058219909668,-2.634422540664673,-4.62409245967865,-4.955617427825928
2025-05-07 00:00:00,80.91712580000001,5.8971772,-5.092926025390625,-2.75,-2.105,-5.5,-6.5625,0.9731779098510742,2.342926025390625,0,127,-4.0736143589019775,-2.4884233474731445,-2.488825798034668,-4.029117822647095,-3.50486958026886
2025-05-07 01:00:00,80.92796195,5.8851404,-4.874725341796875,-2.375,-1.675,-5.4375,-6.53125,0.9701976776123048,2.499725341796875,1,127,-3.783113121986389,-2.474231719970703,-2.219128370285034,-3.8109171390533447,-3.230487823486328
2025-05-07 02:00:00,80.93824335,5.879639,-4.194000244140625,-2.53125,-1.74,-5.34375,-6.5,0.9701976776123048,1.662750244140625,2,127,-3.025409698486328,-1.9808146953582764,-2.669709324836731,-3.1301920413970947,-2.7296420335769653
2025-05-07 03:00:00,80.9478598,5.8822589,-4.24169921875,-2.46875,-1.72,-5.3125,-6.5,0.973773956298828,1.77294921875,3,127,-3.0972187519073486,-2.0259006023406982,-2.1223199367523193,-3.1778910160064697,-2.695231318473816
2025-05-07 04:00:00,80.9568235,5.89412025,-3.7640380859375,-2.09375,-1.2599999999999998,-5.21875,-6.4375,0.973773956298828,1.6702880859375,4,127,-2.5711058378219604,-1.6029415130615234,-2.092537999153137,-2.7002298831939697,-2.579400658607483
2025-05-07 05:00:00,80.9648777,5.9107596,-3.06842041015625,-1.4375,-0.515,-5.125,-6.4375,0.973773956298828,1.63092041015625,5,127,-1.9320378303527832,-1.0357506275177002,-1.27376389503479,-2.0046122074127197,-2.182094097137451
2025-05-07 06:00:00,80.97277725000001,5.9311032,-2.312408447265625,-0.90625,0.0849999999999999,-4.96875,-6.40625,0.974370002746582,1.406158447265625,6,127,-1.3792275190353394,-0.4635171890258789,-0.8150614500045776,-1.2486002445220947,-1.1498348712921143
2025-05-07 07:00:00,80.9803906,5.9526863,-1.724945068359375,-0.625,0.45,-4.84375,-6.375,0.974370002746582,1.099945068359375,7,127,-1.036905288696289,-0.05170464515686035,-0.5188772678375244,-0.6611368656158447,-0.5807623863220215
2025-05-07 08:00:00,80.9879275,5.9743973,-1.491668701171875,-0.46875,0.78,-4.75,-6.34375,0.974370002746582,1.022918701171875,8,127,-0.9165794849395752,-0.10548555850982666,-0.31931018829345703,-0.4278604984283447,-0.5648959875106812
2025-05-07 09:00:00,80.99555265000001,5.9961006,-1.23968505859375,-0.3125,1.1,-4.65625,-6.3125,0.9773502349853516,0.92718505859375,9,127,-0.7685931921005249,-0.11251604557037354,-0.05992412567138672,-0.17587685585021973,-0.5747171640396118
2025-05-07 10:00:00,81.0031546,6.0181686,-0.95684814453125,-0.0625,1.5299999999999998,-4.625,-6.3125,0.9773502349853516,0.89434814453125,10,127,-0.5058720707893372,-0.1094508171081543,0.12459254264831543,0.10696005821228027,-0.36826062202453613
2025-05-07 11:00:00,81.0105099,6.04081935,-0.753936767578125,0.03125,1.9,-4.5625,-6.25,0.9773502349853516,0.785186767578125,11,127,-0.27342331409454346,-0.1738908290863037,0.06578248739242554,0.3098714351654053,-0.17785513401031494
2025-05-07 12:00:00,81.017267,6.06337795,-0.46575927734375,0.03125,1.755,-4.53125,-6.25,0.980926513671875,0.49700927734375,12,127,0.02844679355621338,0.004753202199935913,0.060772836208343506,0.5980489253997803,-0.08254000544548035
2025-05-07 13:00:00,81.02306304999999,6.0850223,-0.190765380859375,0.21875,2.15,-4.40625,-6.1875,0.980926513671875,0.409515380859375,13,127,0.34536218643188477,0.2765944302082062,0.37005698680877686,0.8730428218841553,0.09617909789085388
2025-05-07 14:00:00,81.02785975,6.1049134,-0.11077880859375,0.21875,1.835,-4.40625,-6.1875,0.980926513671875,0.32952880859375,14,127,0.4978581666946411,0.377745658159256,0.453607976436615,0.9530293941497803,0.370625764131546
2025-05-07 15:00:00,81.0316323,6.12178835,-0.26824951171875,0.40625,2.03,-4.375,-6.15625,0.9839067459106444,0.67449951171875,15,127,0.4199575185775757,0.24820607900619507,0.6648381352424622,0.7955586910247803,0.2064949870109558
2025-05-07 16:00:00,81.03405635,6.13381945,-0.061370849609375,0.46875,1.905,-4.34375,-6.125,0.9839067459106444,0.530120849609375,16,127,0.6328067779541016,0.450120747089386,0.568690299987793,1.0024373531341553,0.5040318369865417
2025-05-07 17:00:00,81.0358152,6.13997905,0.037384033203125,0.40625,1.925,-4.3125,-6.125,0.9839067459106444,0.368865966796875,17,127,0.7129949331283569,0.5544877052307129,0.5014589130878448,1.1011922359466553,0.4740133285522461
2025-05-07 18:00:00,81.0377804,6.1388615,0.1151123046875,0.28125,1.395,-4.3125,-6.0625,0.9839067459106444,0.1661376953125,18,127,0.7433282136917114,0.6127905547618866,0.4120136499404907,1.1789205074310303,0.5986752510070801
2025-05-07 19:00:00,81.0406478,6.13029615,0.10302734375,0.09375,1.06,-4.28125,-6.0625,0.9839067459106444,-0.00927734375,19,127,0.6616955995559692,0.5746757686138153,0.3855360448360443,1.1668355464935303,0.5848209261894226
2025-05-07 20:00:00,81.04481394999999,6.1154618,0.08868408203125,-0.0625,0.85,-4.25,-6.03125,0.9815225601196288,-0.15118408203125,20,127,0.5730764865875244,0.5366001725196838,0.034200865775346756,1.1524922847747803,0.443218469619751
2025-05-07 21:00:00,81.05077775000001,6.0965298,0.06158447265625,-0.28125,0.695,-4.25,-6.0,0.9815225601196288,-0.34283447265625,21,127,0.4643958806991577,0.4514126479625702,-0.029401317238807678,1.1253926753997803,0.4440954625606537
2025-05-07 22:00:00,81.05844285,6.076427799999999,0.132537841796875,-0.40625,0.41,-4.25,-6.0,0.9815225601196288,-0.538787841796875,22,127,0.49331003427505493,0.4989440441131592,0.050552912056446075,1.1963460445404053,0.5798779129981995
2025-05-07 23:00:00,81.0675579,6.0579953,-0.209686279296875,-0.3125,0.41,-4.25,-5.9375,0.9785423278808594,-0.102813720703125,23,127,0.11173111200332642,0.060825616121292114,0.14665067195892334,0.8541219234466553,0.21490442752838135
2025-05-08 00:00:00,81.07820675,6.04122715,-0.332427978515625,-0.28125,0.47,-4.25,-5.9375,0.9326467514038086,0.051177978515625,0,128,0.15581893920898438,-0.014215946197509766,0.012172281742095947,0.12451797723770142,-0.27478473633527756
2025-05-08 01:00:00,81.08946225,6.02748055,-1.037384033203125,-0.46875,0.625,-4.21875,-5.875,0.9326467514038086,0.568634033203125,1,128,-0.4606952667236328,-0.6530278921127319,-0.2700696587562561,-0.5804380774497986,-0.8350969851016998
2025-05-08 02:00:00,81.10121355000001,6.01524755,-0.78533935546875,-0.625,0.315,-4.1875,-5.875,0.9314546585083008,0.16033935546875,2,128,-0.24725234508514404,-0.4414040148258209,0.2576277256011963,-0.3283933997154236,-1.6814004778862
